time_ms,ppg_red,ppg_ir,ax,ay,az,gx,gy,gz,motion_mag,ppg_ir_detrended,ppg_red_detrended,ppg_noise_score,slope_score,dynamic_motion,motion_score,signal_label,protocol_label
62774,897,579,0.001709,0.015015,1.006226,-0.244141,0.061035,-0.12207,1.006339,-42.84000000000003,48.67999999999995,0.0,0.0,0.00038748000000010663,0.0004710319999999868,NO_FINGER,NO_FINGER
62935,800,684,0.002686,0.017456,1.005493,-0.366211,0.061035,-0.12207,1.005648,65.88,-43.639999999999986,0.0,0.0,0.0002944400000000069,0.0004649039999999882,NO_FINGER,NO_FINGER
63094,946,563,0.00293,0.015503,1.006104,-0.305176,0.0,-0.12207,1.006227,-50.0,94.12,0.0,0.0,0.0002773999999998722,0.00047355199999998376,NO_FINGER,NO_FINGER
63255,776,744,0.008057,0.013062,1.006592,-0.305176,0.061035,-0.183105,1.006709,124.55999999999995,-78.36000000000001,0.0,0.0,0.0007412799999999553,0.0004660863999999787,NO_FINGER,NO_FINGER
63416,912,534,0.00061,0.012573,1.005249,-0.305176,0.0,-0.12207,1.005328,-89.20000000000005,59.84000000000003,0.0,0.0,0.0006208400000000669,0.00048287359999998,NO_FINGER,NO_FINGER
63575,790,669,0.004883,0.016968,1.005493,-0.305176,0.0,-0.12207,1.005648,47.24000000000001,-55.48000000000002,0.0,0.0,0.00023303999999990666,0.00046517279999997997,NO_FINGER,NO_FINGER
63736,995,540,0.002808,0.018188,1.005493,-0.305176,0.0,-0.183105,1.005662,-75.96000000000004,147.67999999999995,0.0,0.0,0.00020916000000004153,0.0004217535999999811,NO_FINGER,NO_FINGER
63897,808,801,0.004517,0.016602,1.006348,-0.366211,0.061035,-0.061035,1.006495,183.60000000000002,-39.200000000000045,0.0,0.0,0.0005949999999999012,0.00041316639999998015,NO_FINGER,NO_FINGER
64057,862,560,0.00293,0.017212,1.005249,-0.244141,0.0,-0.12207,1.005401,-57.15999999999997,12.120000000000005,0.0,0.0,0.0004279999999998729,0.0004264831999999696,NO_FINGER,NO_FINGER
64216,641,648,0.00647,0.016724,1.005981,-0.244141,0.0,-0.12207,1.006141,25.480000000000018,-203.79999999999995,0.0,0.0,0.0003093199999999463,0.00043403359999996563,NO_FINGER,NO_FINGER
64377,1046,377,0.015869,-0.00293,1.005981,-0.305176,0.0,-0.183105,1.006111,-242.12,201.36,0.0,0.0,0.0002494799999999131,0.0004176207999999626,NO_FINGER,NO_FINGER
