time_ms,ppg_red,ppg_ir,ax,ay,az,gx,gy,gz,motion_mag
85867,97781,108387,0.004639,0.015381,1.005981,-0.244141,0.000000,-0.122070,1.006110
86028,99841,103979,0.003540,0.015015,1.005615,-0.305176,0.000000,-0.122070,1.005734
86188,97629,107498,0.004150,0.015747,1.005005,-0.244141,-0.061035,-0.122070,1.005137
86349,97930,105375,0.003296,0.015503,1.005859,-0.244141,0.000000,-0.061035,1.005984
86508,98502,106972,0.004028,0.015747,1.005005,-0.244141,0.061035,-0.122070,1.005136
86669,99400,109047,0.003418,0.015503,1.005371,-0.366211,0.000000,-0.122070,1.005496
86830,99234,109075,0.004395,0.015991,1.004761,-0.244141,0.000000,-0.061035,1.004898
86991,99422,108888,0.004761,0.015625,1.005615,-0.183105,0.000000,-0.122070,1.005748
87151,98443,104465,0.003540,0.016846,1.005249,-0.305176,0.061035,-0.061035,1.005396
87310,98156,106312,0.004150,0.015015,1.006104,-0.366211,0.061035,-0.122070,1.006224
87471,98298,107633,0.001221,0.015015,1.005981,-0.366211,0.000000,0.000000,1.006094
87632,99108,110417,0.005249,0.014404,1.006104,-0.122070,0.000000,4.089355,1.006220
87793,99247,110184,0.004150,0.015747,1.006470,-0.305176,0.000000,0.732422,1.006601
87952,99832,111879,0.004517,0.017822,1.006592,-0.305176,0.122070,2.197266,1.006760
88112,100286,111518,0.005249,0.015381,1.006104,-0.305176,-0.061035,0.854492,1.006235
88273,100298,96099,0.003662,0.015869,1.006470,-0.244141,0.000000,-0.122070,1.006601
88433,95970,103398,0.004395,0.016968,1.005981,-0.305176,0.122070,0.000000,1.006134
88594,93322,99330,0.003296,0.015503,1.005127,-0.244141,-0.122070,-0.122070,1.005252
88755,96048,104190,0.004028,0.017212,1.005615,-0.244141,0.061035,-0.610352,1.005771
88914,97141,101628,0.004272,0.016113,1.006592,-0.305176,0.000000,-0.061035,1.006730
89075,94603,97312,0.004028,0.015991,1.006104,-0.244141,0.061035,-0.061035,1.006239
89236,92033,99624,0.005005,0.014893,1.005371,-0.366211,0.000000,-0.122070,1.005494
89397,96206,101991,0.003662,0.016235,1.005737,-0.244141,0.000000,-0.122070,1.005875
89556,96392,102656,0.004761,0.015381,1.005371,-0.366211,0.061035,-0.061035,1.005500
89717,96148,99788,0.003174,0.016235,1.006104,-0.305176,0.000000,-0.061035,1.006240
89878,96066,100453,0.003784,0.016113,1.006226,-0.244141,0.000000,-0.122070,1.006362
90037,89527,88456,0.003052,0.016602,1.006104,-0.305176,0.061035,-0.122070,1.006245
90198,85745,95362,0.004395,0.015503,1.006348,-0.183105,0.000000,-0.122070,1.006477
90359,96939,100751,0.003052,0.015015,1.005737,-0.244141,-0.061035,-0.122070,1.005854
90519,97138,101824,0.003784,0.015381,1.005981,-0.305176,-0.061035,-0.122070,1.006106
90680,97341,103016,0.003052,0.016968,1.005249,-0.305176,-0.061035,-0.061035,1.005397
90839,95023,100456,0.003784,0.015991,1.005371,-0.305176,0.000000,-0.061035,1.005505
91000,92852,97645,0.003174,0.016602,1.004761,-0.427246,-0.183105,-0.061035,1.004903
91161,90424,93623,0.002808,0.016602,1.004883,-0.061035,0.000000,-0.061035,1.005024
91320,89920,98088,0.000122,0.018066,1.004150,-0.488281,-0.549316,-0.732422,1.004313
91481,94847,100701,0.001587,0.015869,1.004150,-0.305176,0.000000,-0.244141,1.004277
91642,95997,103603,0.000977,0.015991,1.005127,-0.305176,0.122070,-0.122070,1.005255
91802,97890,103944,0.004517,0.015381,1.005615,-0.244141,0.061035,-0.122070,1.005743
91963,97349,103269,0.001465,0.015991,1.004639,-0.427246,0.000000,-0.122070,1.004767
92122,97395,104983,0.001587,0.015747,1.006104,-0.305176,0.000000,-0.122070,1.006228
92283,97298,104158,0.001587,0.015015,1.005859,-0.244141,0.061035,-0.122070,1.005973
92444,96684,102632,0.001831,0.016357,1.005493,-0.305176,0.244141,-0.122070,1.005628
